372000	51208	457.84
374000	51208	460.18
376000	51208	462.32
378000	51208	464.64
380000	51208	467.03
382000	51208	469.44
384000	51208	471.90
386000	51208	474.29
388000	51208	476.84
390000	51208	479.25
392000	51208	481.50
394000	51208	483.88
396000	51208	486.41
398000	51208	488.71
400000	51208	491.16
402000	51208	493.42
404000	51208	495.84
406000	51208	498.35
408000	51208	500.86
410000	51208	503.18
412000	51208	505.48
414000	51208	507.67
416000	51208	509.96
418000	51208	512.12
420000	51208	514.46
422000	51208	516.90
424000	51208	519.33
426000	51208	521.84
428000	51208	524.33
430000	51208	526.93
432000	51208	529.33
434000	51208	531.98
436000	51208	534.39
438000	51208	536.70
440000	51208	539.07
442000	51208	541.31
444000	51208	543.64
446000	51208	545.93
448000	51208	548.26
450000	51208	550.73
452000	51208	553.16
454000	51208	555.53
456000	51208	558.02
458000	51208	560.36
460000	51208	562.75
462000	51208	565.11
464000	51208	567.23
466000	51208	569.51
468000	51208	571.77
470000	51208	573.92
472000	51208	576.26
474000	51208	578.48
476000	51208	580.77
478000	51208	583.12
480000	51208	585.41
482000	51208	587.94
484000	51208	590.37
486000	51208	592.79
488000	51208	595.11
490000	51208	597.42
492000	51208	599.66
494000	51208	601.83
496000	51208	604.11
498000	51208	606.49
500000	51208	608.66
502000	51208	611.02
504000	51208	613.19
506000	51208	615.53
508000	51208	617.79
510000	51208	620.00
512000	51208	622.38
514000	51208	624.68
516000	51208	627.02
518000	51208	629.45
520000	51208	631.74
522000	51208	634.05
524000	51208	636.48
526000	51208	638.84
528000	51208	641.31
530000	51208	643.79
532000	51208	646.16
534000	51150	648.47
536000	51150	650.69
538000	51150	653.04
540000	51150	655.39
542000	51150	657.58
544000	51150	659.84
546000	51150	662.18
548000	51150	664.45
550000	51150	666.73
552000	51150	668.92
554000	51150	671.22
556000	51150	673.53
558000	51150	675.77
560000	51150	678.22
562000	51150	680.68
564000	51150	683.06
566000	51150	685.52
568000	51150	687.79
570000	51150	690.10
572000	51150	692.39
574000	51150	694.54
576000	51150	697.04
578000	51150	699.48
580000	51150	701.92
582000	51150	704.44
584000	51150	706.92
586000	51150	709.21
588000	51150	711.56
590000	51150	713.72
592000	51150	716.02
594000	51150	718.31
596000	51150	720.44
598000	51150	722.76
